,Below Basic,Basic,Intermediate,Advanced
72,"A 66-year-old man with Parkinson disease visits the doctor for a check-up. He started carbidopa-levodopa treatment when he was diagnosed. He tells the doctor he still sometimes ""freezes,"" has a clumsy walk, and his arms and hands are stiff. What enzyme should a new therapy inhibit to help him?","A 66-year-old man diagnosed with Parkinson's disease comes to his physician for a follow-up check. He began carbidopa-levodopa treatment at diagnosis. He reports still having episodes where he ""freezes,"" along with experiencing a clumsy gait and rigidity in his arms and hands. Which enzyme should be targeted by an additional therapy for this patient?","A 66-year-old man who has been diagnosed with Parkinson's disease comes to see the physician for a follow-up examination. Since his diagnosis, he has been on carbidopa-levodopa therapy. The patient mentions that he continues to experience episodes of ""freezing,"" as well as a clumsy gait and rigidity in his arms and hands. Which enzyme should be inhibited by additional therapy for this patient?","A 66-year-old man recently diagnosed with Parkinson's disease presents for a follow-up examination with his physician. Following his diagnosis, carbidopa-levodopa therapy was commenced. The patient reports ongoing episodes of ""freezing,"" a clumsy gait, and rigidity in his upper extremities and hands. Which enzyme should an adjunctive therapy target to address these symptoms in the patient?",
73,A 2-week-old baby boy comes to the doctor for a check-up. He was born after a normal birth at 41 weeks. His mother is healthy and didn't see the doctor during pregnancy. She only takes a prenatal vitamin but drinks a lot of vodka every night for 10 years. What is the most likely thing the doctor will find during the exam?,"A 2-week-old male newborn is here for a routine check-up. Born after an uncomplicated birth at 41 weeks, his mother has no serious illnesses but did not have prenatal care. Her only medication is a prenatal vitamin, though she drinks large amounts of vodka every night for the past 10 years. Which examination finding is most likely to be observed in this patient?","A male newborn, 2 weeks old, visits the doctor for a regular infant exam. Born after an easy vaginal birth at 41 weeks, his mother lacks any serious illnesses and didn't have prenatal care. Her only medication is prenatal vitamins, but she has consumed large quantities of vodka nightly for 10 years. Which is the most likely examination finding in this case?","During a well-child examination, a male newborn, age 2 weeks, is assessed. He was delivered smoothly at 41 weeks' gestation. His mother, healthy yet absent prenatal care, takes only prenatal vitamins but habitually consumes large volumes of vodka nightly for 10 years. What examination finding is most likely in this patient?",
74,What is most likely causing this patient's condition?,What is the most likely underlying cause of this patient's condition?,Identify the most likely underlying cause of this patient's condition.,Which of the following is the most likely underlying cause of this patient's condition?,
75,"A 15-year-old boy's parents brought him to the doctor about biopsy results for a neck lump that showed up 3 days ago. He first noticed the lump 1 month ago. Two weeks ago, he had a long nosebleed and was found to have ear fluid which got treated with amoxicillin-clavulanic acid. He has no serious illnesses or takes any medications. His height is in the 10th percentile, weight in the 50th, and BMI in the 75th percentile. Vital signs are normal. Check-up shows ear fluid and a 4-cm hard lump in the right neck area. The biopsy shows issues with skin cells and no keratin. Which germ is most likely causing his problem?","A 15-year-old boy came with his parents to discuss the biopsy results from 3 days ago for a fast-growing neck lump. He first noticed it 1 month ago. Two weeks before, he had a long nosebleed and was found to have ear fluid, treated with amoxicillin-clavulanic acid. His medical history shows no serious illness or medication use. His height is at the 10th percentile, weight at the 50th, and BMI at the 75th. Vital signs are normal. Exam shows ear fluid and a firm 4-cm mass in the right neck. Biopsy shows squamous epithelium issues. Which of these infections is most likely causing his condition?","A 15-year-old boy is brought by his parents to review the biopsy results conducted 3 days ago for a rapidly enlarging neck mass. He first noticed the mass about a month ago. Two weeks prior, he was evaluated due to prolonged epistaxis and discovered to have right ear effusion, which was treated with amoxicillin-clavulanic acid. He doesn't have any serious illnesses and takes no medication. His height is at the 10th percentile, weight at the 50th percentile, and BMI at the 75th percentile. Vital signs are normal. Physical examination reveals right ear effusion and a 4-cm, firm mass in the right posterior triangle of the neck. The biopsy shows squamous epithelium with indistinct cell margins, enlarged atypical nuclei, and absence of keratin formation. Which infectious agent is most likely the underlying cause of this patient's condition?","The parents of a 15-year-old boy brought him to the office regarding biopsy results received 3 days ago for a neck mass that has been rapidly enlarging. He first noticed this mass 1 month ago. Two weeks before the current presentation, he was assessed for a prolonged episode of epistaxis, during which a right ear effusion was identified and treated with amoxicillin-clavulanic acid. He has no significant past medical history and is not on any medication. His height, weight, and BMI are in the 10th, 50th, and 75th percentiles, respectively. His vital signs fall within normal ranges. The physical examination revealed right ear effusion and a 4-cm firm mass located in the right posterior triangle of the neck. The biopsy indicates squamous epithelium with indistinct cell margins, enlarged atypical nuclei, and an absence of keratin formation. Which infectious agent is most likely responsible for the underlying cause of the patient's current condition?",
76,A 48-year-old woman has type 2 diabetes. She sees the doctor for a check-up. She takes metformin and insulin once a day. She travels a lot and works long hours. She eats fast food many times. She does not move much. She forgets to check her blood sugar often. Her hemoglobin A1c was 8.4%. What should the doctor do to help her control her diabetes better?,A 48-year-old woman with type 2 diabetes visits the doctor for a follow-up. She takes metformin and insulin once daily. She travels a lot and works many hours. She usually eats fast food. She doesn't exercise much and often forgets to check her blood sugar levels. Her last hemoglobin A1c was 8.4%. What action should the doctor take to help her improve her diabetes control?,"A 48-year-old woman with type 2 diabetes mellitus attends a follow-up examination with her physician. Her medications include metformin and insulin taken once daily. She frequently travels and works long hours, leading to meals primarily consisting of fast food. She maintains a sedentary lifestyle and often forgets to monitor her blood glucose concentration. Recently, her hemoglobin A1c measured at 8.4%. What action is most appropriate for the physician to take to help her improve diabetic management?","A 48-year-old woman diagnosed with type 2 diabetes mellitus presents for a follow-up examination. She is currently on metformin and once-daily insulin. Her lifestyle includes frequent travel, extended work hours, and a diet predominantly of fast food, combined with a sedentary lifestyle. She frequently neglects to measure her blood glucose concentration. Her most recent hemoglobin A1c level was 8.4%. Considering these factors, what should the physician do to assist her in achieving better diabetic control?",
77,"A 74-year-old woman, who has coronary artery disease, goes to the emergency department 30 minutes after sudden, strong chest pain starts. Her pulse is 120 beats per minute, and her systolic blood pressure is 70 mm Hg. An ECG shows sinus rhythm with ST elevation in leads V1 through V3. The doctor wants to give a drug to raise her blood pressure without raising her pulse. Which drug is best for this patient?","A 74-year-old woman with coronary artery disease arrives at the emergency department 30 minutes after a sudden onset of severe chest pain. Her pulse is 120 beats per minute, and her systolic blood pressure reads 70 mm Hg. An ECG shows sinus rhythm with ST elevation in leads V1 through V3. The doctor intends to give a drug to increase her blood pressure without affecting her pulse rate. Which drug should the doctor choose for this patient?","A 74-year-old woman, known to have coronary artery disease, is brought to the emergency department 30 minutes following the sudden onset of intense chest pain. Her pulse rate is 120 beats per minute, and her systolic blood pressure reads 70 mm Hg. An ECG indicates sinus rhythm and ST elevation in leads V1 to V3. The physician aims to administer a drug that can raise her blood pressure without causing her pulse rate to increase. What is the most suitable drug for this patient?","A 74-year-old woman with a known history of coronary artery disease is admitted to the emergency department 30 minutes after experiencing a sudden onset of intense, crushing chest pain. Her pulse is noted at 120 beats per minute, and her systolic blood pressure is recorded at 70 mm Hg. The ECG exhibits sinus rhythm with ST elevation in leads V1 to V3. The physician plans to administer a pharmacological agent intended to elevate her blood pressure without increasing her heart rate. Which drug is most appropriate for her condition?",
78,"A 2-month-old girl is in the hospital with bad pneumonia. She had mucocutaneous candidiasis and has chronic diarrhea. Her heart beats 160 times in a minute, and she breathes 40 times in a minute. You can hear crackles in her lungs. Her leukocyte count is 5400/mm3 (N=5000–19,500), with 86% segmented neutrophils, 6% lymphocytes, and 8% monocytes. A bronchoscopy test is positive for Pneumocystis jirovecii. Flow cytometry results are normal for natural killer cells but show no T or B lymphocytes in her blood. A PCR test shows no usual V(D)J rearrangements in the bone marrow. What could be causing these test results?","A 2-month-old girl is admitted to the hospital with severe pneumonia. She has a history of mucocutaneous candidiasis and chronic diarrhea. Her pulse is 160 per minute, and she breathes 40 times per minute. Crackles are noticed in both lung areas. Her leukocyte count is 5400/mm3 (which is normally between 5000-19,500), with 86% segmented neutrophils, 6% lymphocytes, and 8% monocytes. A specimen from bronchoscopy tested positive for Pneumocystis jirovecii. Flow cytometry shows normal levels of natural killer cells but no T or B lymphocytes in her blood. A PCR test of immunoglobulin V(D)J regions from bone marrow shows no typical rearrangements. What change is likely causing these findings?","A 2-month-old girl is hospitalized due to severe pneumonia. She has previously had mucocutaneous candidiasis and suffers from chronic diarrhea. Her pulse rate is 160 beats per minute, and her respiratory rate is 40 per minute. Crackles are audible across both lung fields. She has a leukocyte count of 5400/mm3 (with the normal range being 5000–19,500), consisting of 86% segmented neutrophils, 6% lymphocytes, and 8% monocytes. Immunologic testing via bronchoscopy confirms the presence of Pneumocystis jirovecii. Flow cytometry demonstrates normal concentrations of natural killer cells but indicates the absence of T or B lymphocytes in the peripheral blood. A polymerase chain reaction test on a bone marrow specimen for immunoglobulin V(D)J regions shows a lack of characteristic rearrangements. What alteration most likely explains these findings?","A 2-month-old girl is admitted with severe pneumonia and presents a history of mucocutaneous candidiasis alongside chronic diarrhea. Her vital signs include a pulse of 160 beats per minute and a respiration rate of 40 per minute. Auscultation reveals crackles in both lung fields. Her leukocyte count is recorded at 5400/mm3, with a normal range being 5000–19,500, and consists of 86% segmented neutrophils, 6% lymphocytes, and 8% monocytes. Bronchoscopic immunologic tests are positive for Pneumocystis jirovecii. Flow cytometry indicates normal levels of natural killer cells but no T or B lymphocytes in the peripheral blood. Results from a polymerase chain reaction test on bone marrow reveal an absence of characteristic V(D)J immunoglobulin rearrangements. Which alteration most likely accounts for these clinical findings?",
79,"A 25-year-old woman, with one pregnancy and one child, feels her heart racing and gets hot easily for 2 weeks. She had a baby 3 months ago without problems. She breastfeeds. She is 163 cm tall, weighs 54 kg; her BMI is 21 kg/m2. Her temperature is 37°C, pulse 106/min, respirations 20/min, and blood pressure 124/68 mm Hg. Her hands are moist, her eyelids do not close right, but her eyes are normal. Her thyroid is bigger but doesn't hurt. Her heart sounds normal. Reflexes are strong. Her TSH is low, T4 is 20 μg/dL, and T3 is 275 ng/dL. What is causing her symptoms?","A 25-year-old woman, with one previous pregnancy and one child, reports heart palpitations and heat intolerance for the past 2 weeks. She gave birth to her child 3 months ago after a smooth pregnancy and delivery, and she is currently breastfeeding. The woman has no history of serious illness and takes no medication. She measures 163 cm tall and weighs 54 kg, with a BMI of 21 kg/m2. Her vital signs are: temperature at 37°C, pulse at 106/min, respiration rate at 20/min, and blood pressure at 124/68 mm Hg. On examination, she has moist palms and bilateral lid lag, but no exophthalmos is observed. Her thyroid gland is found to be enlarged but not tender. Cardiac examination reveals no murmurs, and deep tendon reflexes measure 3+. Serum studies indicate an undetectable TSH level, a thyroxine (T4) level of 20 μg/dL, and a triiodothyronine (T3) level of 275 ng/dL. What is the most likely mechanism causing her symptoms?","A 25-year-old woman, who has been pregnant once and has one child, visits because she has been experiencing palpitations and heat intolerance for 2 weeks. She delivered her baby 3 months ago following an uncomplicated pregnancy, and she is breastfeeding. The woman has no serious medical history and does not take any medication. She is 163 cm tall, weighs 54 kg, and has a BMI of 21 kg/m2. Her vital signs include a temperature of 37°C, a pulse of 106/min, respirations at 20/min, and a blood pressure of 124/68 mm Hg. On physical examination, she has moist palms and bilateral lid lag, with no exophthalmos noted. Her thyroid gland is noted to be enlarged but nontender, and the cardiac examination reveals no murmurs. Deep tendon reflexes are noted to be 3+. Lab studies show an undetectable TSH concentration, a thyroxine (T4) concentration of 20 μg/dL, and a triiodothyronine (T3) concentration of 275 ng/dL. What is the most likely mechanism responsible for her symptoms?","A 25-year-old woman, gravida 1, para 1, presents with a 2-week history of palpitations and heat intolerance. She delivered her child 3 months ago following an uncomplicated pregnancy and is currently breastfeeding. She has no significant past medical history and is not on any medications. She stands 163 cm (5 ft 4 in) tall and weighs 54 kg (120 lb), with a BMI of 21 kg/m2. Her temperature reads 37°C (98.6°F), pulse is 106/min, respirations are 20/min, and blood pressure is 124/68 mm Hg. Clinical examination reveals moist palms and bilateral lid lag without exophthalmos. The thyroid gland is palpably enlarged and nontender, with cardiac auscultation revealing no murmurs. Deep tendon reflexes are 3+. Laboratory tests show an undetectable TSH level, a thyroxine (T4) level of 20 μg/dL, and a triiodothyronine (T3) level of 275 ng/dL. Which mechanism is most likely driving this patient's symptomatology?",
80,"A 73-year-old woman goes to the emergency room with severe stomach pain that has lasted 6 hours. She has chronic atrial fibrillation and had a prosthetic mitral valve put in 4 years ago. Her heartbeat is 120 beats per minute and irregular, and her blood pressure is 80/60 mm Hg. The arteriography shows an embolus in her superior mesenteric artery, just beyond the middle colic artery. A laparotomy is performed. Which segment of her abdominal organs is probably going to look normal during this surgery?","A 73-year-old woman arrives at the emergency department due to severe abdominal pain that started 6 hours ago. She has a history of chronic atrial fibrillation and had a prosthetic mitral valve placed 4 years back. Her pulse is 120/min and irregularly irregular, and her blood pressure reads 80/60 mm Hg. An arteriography reveals an embolus in the superior mesenteric artery, positioned just beyond the middle colic artery. A laparotomy is performed. During this operation, which segment of the abdominal viscera is most likely to appear normal?","A 73-year-old woman presents to the emergency department with a recent 6-hour history of severe abdominal pain. Her medical history reveals chronic atrial fibrillation, and she received a prosthetic mitral valve 4 years prior. Her pulse registers at 120/min with an irregularly irregular pattern, and her blood pressure is measured at 80/60 mm Hg. Arteriography indicates the presence of an embolus in the superior mesenteric artery just past the patent middle colic artery. A laparotomy is undertaken. In this procedure, which section of the abdominal viscera is most likely to appear unaffected?","A 73-year-old female patient is admitted to the emergency department reporting severe abdominal pain for the past 6 hours. Her medical records note chronic atrial fibrillation and a prosthetic mitral valve insertion 4 years earlier. Her pulse is irregularly irregular at 120 beats per minute, and her blood pressure stands at 80/60 mm Hg. Arteriography identifies an embolus lodged in the superior mesenteric artery, just beyond the patent middle colic artery. A laparotomy is conducted. During this exploration, which specific segment of the abdominal viscera is most likely to appear normal?",
81,"A 2-year-old boy has trouble growing. He has had loose, fatty, and smelly stools and a cough for 2 weeks. His height is at the 30th percentile and his weight at the 10th percentile. No other problems were seen when the doctor checked him. Tests show steatorrhea and a sweat chloride level of 80 mmol/L. A chest x-ray shows hyperinflation. The sputum culture found Haemophilus influenzae and Staphylococcus aureus. Which secretion is most likely decreased in this patient?","A 2-year-old boy was taken to the doctor because he is not growing well. He has had loose, fatty, foul-smelling stools and a cough for the last 2 weeks. He is at the 30th percentile for height and 10th percentile for weight. The physical exam shows nothing else wrong. Lab studies reveal steatorrhea and a sweat chloride concentration of 80 mmol/L. A chest x-ray indicates hyperinflation. A sputum culture shows Haemophilus influenzae and Staphylococcus aureus. Which secretion is probably decreased in this patient?","A parent brought a 2-year-old boy to the physician due to failure to thrive. He has experienced loose, fatty, foul-smelling stools and a cough over the past 2 weeks. He ranks in the 30th percentile for height and the 10th percentile for weight. Physical examination identifies no other abnormalities. Laboratory studies demonstrate steatorrhea and a sweat chloride concentration of 80 mmol/L. A chest x-ray illustrates hyperinflation. Sputum culture shows the presence of Haemophilus influenzae and Staphylococcus aureus. Which secretion is most likely reduced in this patient?","A 2-year-old boy presents to the physician for failure to thrive, in conjunction with a history of loose, fatty, foul-smelling stools and a persistent cough over the past 2 weeks. He measures at the 30th percentile for height and the 10th percentile for weight, with the physical examination revealing no additional abnormalities. Laboratory findings confirm steatorrhea and a sweat chloride concentration of 80 mmol/L. Imaging from the chest x-ray reveals hyperinflation. Sputum cultures have grown Haemophilus influenzae and Staphylococcus aureus. Which substance's secretion is most likely decreased in this patient?",
82,"A 73-year-old man went to the emergency room because he hit the left side of a door frame and tripped over a chair on his left. He has trouble seeing on the left side and only feels touches on the right, but can move and talk fine. Where is his brain problem likely located?","A 73-year-old man arrived at the emergency room an hour after bumping into a door frame on the left side and falling over a chair on his left. He can see less in the left lower area and only notices touch on the right side. He has no problems with moving or speaking, and his sense of body position is normal. Which part of his brain likely has a lesion?","A 73-year-old man presented to the emergency department by his family one hour after hitting the left side of a door frame and tripping over a chair on his left. Visual tests reveal a left lower quadrant anopia, and he only senses tactile stimuli on the right when both sides are tested together. He exhibits no motor or language deficits, and proprioception remains intact. In which brain lobe is a lesion most likely located?","A 73-year-old man arrived at the emergency department an hour after impacting the left side of a door frame and subsequently tripping over a chair on the same side. Visual field assessment shows left lower quadrantanopia, and with simultaneous tactile stimuli, only those on the right are identified. There are no motor or language impairments, and proprioception is unimpaired. This scenario most likely indicates a lesion in which lobe of the brain?",
83,"A 10-year-old boy goes to the doctor because for 3 weeks he's been having nosebleeds and bruises easily. His older brother had similar issues. He is at the 30th percentile for height and weight. The doctor finds nose and gum bleeding and bruises on his body and arms and legs. Tests show his platelet count is 300,000/mm3 (Normal is 150,000–400,000). Platelet adhesion testing shows a normal reaction to ristocetin, but no aggregation with thrombin; platelet looks normal. Prothrombin time and activated partial thromboplastin time are normal. What defect most likely explains the boy's symptoms?","A 10-year-old boy visits the physician due to a 3-week history of nosebleeds and easy bruising. His older brother has had similar problems. The boy is at the 30th percentile for height and weight. The physical exam reveals nasal and gum bleeding, plus several bruises on the body and arms and legs in different stages of healing. Lab tests show a platelet count of 300,000/mm3 (Normal is 150,000 –400,000). Platelet adhesion has a normal response to ristocetin, but no aggregation occurs with thrombin; platelet shape is normal. Prothrombin time and activated partial thromboplastin time are normal. Which defect is most likely causing these findings in this patient?","A 10-year-old boy is taken to the physician because of experiencing nosebleeds and easy bruising over the past 3 weeks. His older brother has had similar episodes. The boy's height and weight are both at the 30th percentile. The physical examination identifies nasal and gum bleeding along with several bruises on the trunk and limbs in various healing stages. Laboratory results indicate a platelet count of 300,000/mm3 (Normal: 150,000 –400,000). Platelet adhesion shows a normal response to ristocetin, but there is no aggregation with thrombin; platelet morphology appears normal. Both prothrombin time and activated partial thromboplastin time are within normal ranges. Which underlying defect is the most likely cause of these clinical findings in this patient?","A 10-year-old boy presents to the physician with a 3-week history of nosebleeds and easy bruisability. His older brother has experienced similar episodes. He is at the 30th percentile for height and weight. On physical examination, there is evidence of nasal and gingival bleeding as well as multiple ecchymoses on the trunk and extremities at various stages of healing. Laboratory analysis shows a platelet count of 300,000/mm3 (Normal range: 150,000 –400,000). In platelet adhesion testing, a normal reaction occurs with ristocetin, but no aggregation with thrombin; platelet morphology is unchanged. The prothrombin time and activated partial thromboplastin time remain within the reference limits. A defect in which particular component is most likely responsible for this patient's observed clinical findings?",
84,"A healthy 45-year-old woman who is a park ranger visits the doctor because she has had shortness of breath for 1 week, even when resting. She has lived in the mountains at 10,000 feet for 2 years, but the doctor's office is at sea level. Her pulse is 85 per minute, respiration is 18 per minute, and blood pressure is 125/90. While sitting, the exam shows jugular venous distention and 2+ pedal edema. Over the past 2 years, what has decreased in this patient?","A 45-year-old woman who's healthy and works as a park ranger comes to her doctor after having shortness of breath for 1 week, even when resting. She has been living in the mountains at 10,000 feet above sea level for 2 years. The doctor's office is at sea level. Her pulse is 85/min, respirations are 18/min, and blood pressure is 125/90 mm Hg. Sitting upright, the physical exam notes jugular venous distention and 2+ pedal edema. Over the last 2 years, what has most likely decreased in this patient?","A 45-year-old woman, with no past health issues and working as a park ranger, visits her physician due to 1 week of experiencing shortness of breath, even while at rest. She has resided at an altitude of 10,000 feet above sea level for the past 2 years, while the physician is located at sea level. Her vital signs show a pulse of 85/min, respirations of 18/min, and blood pressure at 125/90 mm Hg. The physical exam, conducted with her sitting upright, reveals jugular venous distention and 2+ pedal edema. In the last 2 years, which of the following has most likely decreased in this patient?","A 45-year-old woman, previously healthy and employed as a park ranger, presents to her physician with a 1-week history of shortness of breath, present even at rest. She has lived at an elevation of 10,000 feet for 2 years, while the physician's practice is at sea level. Vital signs include a pulse of 85 bpm, respiration rate of 18/min, and a blood pressure of 125/90 mm Hg. On physical examination, conducted with the patient seated upright, findings include jugular venous distention and 2+ pedal edema. Over the past 2 years, what would have most likely decreased in this patient?",
85,"A 5-year-old girl has bloody diarrhea for 6 hours. Her mom takes her to the doctor. The girl is playful and not in pain. Her blood pressure is 90/55 mm Hg. Her stomach sounds normal. Stool cultures are done, and mom is told to give her lots of fluids. Five days later, she pees less and returns to the doctor. Her blood pressure is now 135/88 mm Hg. She looks pale. Her blood tests show: Hemoglobin 8.5 g/dL (N=11-15), Hematocrit 26% (N=28%-45%), Platelet 45,000/mm3 (N=150,000-400,000), Serum creatinine 3.3 mg/dL (N=0.3-0.7). Which germ likely caused these signs?","A mother brings her 5-year-old daughter to the doctor after 6 hours of bloody diarrhea. The child is alert and not in severe pain. Her blood pressure is 90/55 mm Hg, and her abdomen sounds normal. Stool samples are taken, and her mother is told to give her plenty of fluids. Five days later, the girl has decreased urine output and returns. Her blood pressure has increased to 135/88 mm Hg. She appears pale. Lab results show: Hemoglobin 8.5 g/dL (N=11–15), Hematocrit 26% (N=28%–45%), Platelets 45,000/mm3 (N=150,000–400,000), Serum creatinine 3.3 mg/dL (N=0.3–0.7). Which infectious agent is most likely the cause?","A 5-year-old girl is taken to the clinic by her mother for a 6-hour history of bloody diarrhea. The child is interactive and not in acute distress. Initial blood pressure reads 90/55 mm Hg. Abdominal examination reveals normal bowel sounds. Stool cultures are collected, and the mother is advised to maintain hydration by giving the girl plenty of fluids. Five days later, the girl experiences reduced urine output and is brought back to the clinic. Her blood pressure has risen to 135/88 mm Hg, and she displays pallor. Lab tests reveal: Hemoglobin 8.5 g/dL (N=11–15), Hematocrit 26% (N=28%–45%), Platelet count 45,000/mm3 (N=150,000–400,000), Serum creatinine 3.3 mg/dL (N=0.3–0.7). Which of the following infectious agents is most likely responsible for these findings?","A 5-year-old girl presents with a 6-hour history of bloody diarrhea and is accompanied to the clinic by her mother. She appears interactive and free from acute distress, with an initial blood pressure of 90/55 mm Hg. Physical examination reveals normoactive bowel sounds, and stool cultures are obtained. The mother is instructed to ensure her daughter remains well-hydrated with plenty of fluids. Five days subsequently, the girl presents with reduced urine output and is seen again, showing an increased blood pressure of 135/88 mm Hg and physical signs of pallor. Laboratory results show: Hemoglobin 8.5 g/dL (N=11–15), Hematocrit 26% (N=28%–45%), Platelet count 45,000/mm3 (N=150,000–400,000), Serum creatinine 3.3 mg/dL (N=0.3–0.7). Which infectious agent is most likely to be the cause of these clinical findings?",
86,"A 78-year-old woman is in the intensive care unit for diverticulitis with Escherichia coli sepsis. She started ciprofloxacin treatment. After three days, her serum creatinine went up from 0.7 mg/dL to 1.3 mg/dL. Her urinalysis shows muddy brown casts. What structure is likely affected by ischemia?","A 78-year-old woman was admitted to the intensive care unit due to diverticulitis with Escherichia coli sepsis. Ciprofloxacin treatment was started. After three days, her serum creatinine rose from 0.7 mg/dL on admission to 1.3 mg/dL. The urinalysis shows muddy brown casts. Which structure is most likely ischemic in this patient?","In the case of a 78-year-old woman admitted to the intensive care unit for diverticulitis complicated by Escherichia coli sepsis, ciprofloxacin treatment was initiated. Within three days, her serum creatinine levels increased from 0.7 mg/dL upon admission to 1.3 mg/dL. Urinalysis reveals muddy brown casts. Which structure is most likely experiencing ischemia in this patient?","A 78-year-old woman, admitted to the intensive care unit due to diverticulitis with Escherichia coli sepsis, began ciprofloxacin treatment. Three days later, her serum creatinine concentration increased from 0.7 mg/dL at admission to 1.3 mg/dL. Urinalysis showed muddy brown casts. Which specific structure is most likely to be suffering from ischemia given these findings?",
87,"A 19-year-old college freshman has had swollen glands for 4 days. He also had fever, feeling tired, and less hunger for 6 days. His temperature is 38.7°C (101.7°F). The doctor sees his parotid glands are swollen. Which infectious agent is likely the cause?","A 19-year-old college freshman visits because he has had tender, swollen glands for 4 days, along with a 6-day history of fever, tiredness, and decreased appetite. His temperature is 38.7°C (101.7°F). The physical exam shows his parotid glands are swollen. Which infectious agent is most likely responsible for these symptoms?","The 19-year-old man, currently a college freshman, comes to the office due to tender, swollen glands that have lasted 4 days. He also reports having fever, malaise, and decreased appetite for 6 days. His temperature is 38.7°C (101.7°F). Physical examination reveals swelling in his parotid glands. Which infectious agent is most likely the cause of these findings?","A 19-year-old college freshman presents with a 4-day history of tender, swollen glands and a 6-day history of fever, malaise, and decreased appetite. His temperature registers at 38.7°C (101.7°F). On physical examination, there is noticeable swelling of the parotid glands. Which infectious agent is most likely responsible for these clinical findings?",
88,"A 34-year-old woman with myasthenia gravis goes to the emergency department because she has been feeling more weak, has trouble breathing, and has stomach cramps for 2 days. She takes prednisone and pyridostigmine. Her temperature is 37°C (98.6°F), her heartbeat is 45 beats per minute, and she breathes 25 times per minute in a shallow way. Her voice sounds soft and nasal, and she coughs weakly when she drinks water. Her breath and heart sounds are normal. Tests show she cannot make a normal negative inspiratory force when she breathes in hard. Her belly is soft and not painful, but there are more bowel sounds. Her muscle strength is 4 out of 5 all over, with serious, non-stop muscle twitching. Her deep tendon reflexes are slow but even on both sides. What is the most likely cause of her weakness?","A 34-year-old woman who has myasthenia gravis comes to the emergency department with a 2-day history of feeling increasingly weak, having shortness of breath, and experiencing stomach cramps. Her current medications include prednisone and pyridostigmine. She has a temperature of 37°C (98.6°F), a pulse of 45/min, and shallow breathing at 25 breaths per minute. Her voice is soft and nasal, and she coughs weakly when she swallows water. Her breath and heart sounds are normal. Pulmonary testing reveals she cannot generate a normal negative inspiratory force during forced inhalation. Her abdomen is soft, without pain, but there are increased bowel sounds. Her muscle strength is 4/5 throughout, with severe, continuous muscle twitching (fasciculations). Deep tendon reflexes are slow but equal on both sides. What is most likely causing her weakness?","A 34-year-old woman with myasthenia gravis presents to the emergency department with a 2-day history of increasing weakness, shortness of breath, and abdominal cramping. Her current medications include prednisone and pyridostigmine. Her temperature measures 37°C (98.6°F), her heart rate is 45 beats per minute, and her respiration rate is 25 breaths per minute, with shallow breathing. She speaks with a soft, hypernasal voice and coughs weakly when swallowing water. Her breath and heart sounds are normal on examination. Pulmonary function testing indicates an inability to generate a normal negative inspiratory force during forced inspiration. Her abdomen is soft and non-tender, with increased bowel sounds. Her muscle strength is rated 4/5 diffusely, along with severe, continuous diffuse fasciculations. Deep tendon reflexes are noted to be sluggish but symmetric. What is the most likely cause of her weakness?","A 34-year-old female patient with a history of myasthenia gravis presents to the emergency department reporting a 2-day history of progressive weakness, dyspnea, and abdominal cramping. She is currently on prednisone and pyridostigmine. Her temperature is recorded at 37°C (98.6°F), with a pulse rate of 45/min and shallow respirations at 25/min. On examination, her voice is soft and hypernasal, and she exhibits a weak cough when swallowing water. Her breath and heart sounds are normal on auscultation. Pulmonary function tests show she is unable to achieve a normal negative inspiratory force during forced inspiration. The abdominal exam reveals a soft, non-tender abdomen with increased bowel sounds. There is a diffuse reduction in muscle strength scored at 4/5, and she has severe, continuous, diffuse fasciculations. Deep tendon reflexes are sluggish but symmetric. What is the most likely etiology of her weakness?",
89,A 35-year-old woman is at the doctor's office. She had three early miscarriages in the last 3 years. Her body and hormones are normal. A test shows a change in chromosome 1. What is her risk for early miscarriages and having a baby with aneuploidy?,A 35-year-old woman visits the office because she had three first-trimester miscarriages during the past 3 years. Her physical and lab tests show nothing wrong except for a paracentric inversion in chromosome 1. What are her risks for more early miscarriages and for having a child with aneuploidy?,A 35-year-old woman comes to the clinic after experiencing three first-trimester miscarriages over the past 3 years. Physical and laboratory evaluations reveal no abnormalities except for a paracentric inversion on the long arm of chromosome 1. What describes this patient's risk of early miscarriages and having a liveborn child with aneuploidy?,"A 35-year-old woman presents to the office following three first-trimester spontaneous abortions in the past 3 years. Physical and lab examinations show normal results, except for a paracentric inversion on chromosome 1's long arm. Which of the following best characterizes her risk for early spontaneous abortions and having a liveborn child with aneuploidy?",
