,en,es,ar,cs,de,id,ko,ja,lv,nl,it
40,"[0.3042755126953125, 0.21198487281799316, 0.19204460084438324, 0.17722289264202118, 0.092021144926548, 0.022450905293226242]","[0.2990254759788513, 0.21502040326595306, 0.17020189762115479, 0.1685340404510498, 0.10260216146707535, 0.04461603984236717]","[0.39250412583351135, 0.2161896973848343, 0.16161823272705078, 0.1324051469564438, 0.05015081167221069, 0.04713200777769089]","[0.3314075767993927, 0.19770139455795288, 0.16387443244457245, 0.15661469101905823, 0.09126989543437958, 0.05913206562399864]","[0.41045936942100525, 0.1919701099395752, 0.16258081793785095, 0.11369850486516953, 0.08610984683036804, 0.03518136590719223]","[0.44583603739738464, 0.17613719403743744, 0.1629534214735031, 0.11763507127761841, 0.049981508404016495, 0.047456759959459305]","[0.38152939081192017, 0.19580353796482086, 0.13104958832263947, 0.12538011372089386, 0.10143565386533737, 0.06480172276496887]","[0.23483076691627502, 0.2209334373474121, 0.1803562045097351, 0.14423790574073792, 0.12063856422901154, 0.09900306910276413]","[0.33084771037101746, 0.23932668566703796, 0.16983771324157715, 0.13325682282447815, 0.07312079519033432, 0.05361026152968407]","[0.33155083656311035, 0.22509801387786865, 0.13745853304862976, 0.12392669916152954, 0.11124620586633682, 0.07071968168020248]","[0.31022173166275024, 0.2441529482603073, 0.15776829421520233, 0.14677487313747406, 0.08798312395811081, 0.05309901013970375]"
41,"[0.7200124263763428, 0.14606764912605286, 0.07491154223680496, 0.05043112486600876, 0.00857726950198412]","[0.7671059370040894, 0.12488098442554474, 0.0402073934674263, 0.03933783993124962, 0.02846783958375454]","[0.6869328022003174, 0.19563397765159607, 0.061091382056474686, 0.04942822456359863, 0.0069135515950620174]","[0.6485381126403809, 0.11601849645376205, 0.0934135839343071, 0.08378635346889496, 0.05824348330497742]","[0.7688906788825989, 0.10717889666557312, 0.04704894870519638, 0.04179694876074791, 0.03508448973298073]","[0.7465001344680786, 0.15956172347068787, 0.0397210456430912, 0.03969162330031395, 0.01452548149973154]","[0.649433970451355, 0.17131751775741577, 0.08680880814790726, 0.05133025348186493, 0.04110949859023094]","[0.7705368995666504, 0.1273583024740219, 0.04164871200919151, 0.030866948887705803, 0.029589148238301277]","[0.6423776149749756, 0.15642784535884857, 0.09802326560020447, 0.06166904419660568, 0.0415022186934948]","[0.7798378467559814, 0.10028352588415146, 0.04156665876507759, 0.04151904210448265, 0.03679291903972626]","[0.7699660062789917, 0.1325441151857376, 0.04936429485678673, 0.03389699012041092, 0.014228609390556812]"
42,"[0.2785342037677765, 0.19887535274028778, 0.16611793637275696, 0.13667134940624237, 0.11162707954645157, 0.10817410051822662]","[0.3134666979312897, 0.22733333706855774, 0.1916375309228897, 0.14291319251060486, 0.07769522070884705, 0.04695411026477814]","[0.35113638639450073, 0.25514429807662964, 0.1490391045808792, 0.11406635493040085, 0.08738100528717041, 0.043232858180999756]","[0.22677643597126007, 0.21814283728599548, 0.18271541595458984, 0.18236272037029266, 0.09916382282972336, 0.09083873778581619]","[0.3161691427230835, 0.2949655055999756, 0.16934260725975037, 0.10549212247133255, 0.07651402801275253, 0.037516575306653976]","[0.3149956464767456, 0.27847832441329956, 0.1653984636068344, 0.12749120593070984, 0.05813329294323921, 0.055503033101558685]","[0.31964126229286194, 0.2964707911014557, 0.10871710628271103, 0.10371385514736176, 0.08828537911176682, 0.08317159861326218]","[0.25910618901252747, 0.20188507437705994, 0.15786756575107574, 0.1522556096315384, 0.11510691791772842, 0.11377868801355362]","[0.266161173582077, 0.24708670377731323, 0.15909937024116516, 0.15712423622608185, 0.10053323209285736, 0.0699952095746994]","[0.3192230761051178, 0.26468735933303833, 0.1687036007642746, 0.14102019369602203, 0.060394078493118286, 0.04597173631191254]","[0.3155445158481598, 0.23076175153255463, 0.20366187393665314, 0.11025013774633408, 0.08886465430259705, 0.05091707035899162]"
43,"[0.6327217221260071, 0.16813698410987854, 0.11160387098789215, 0.03885301202535629, 0.026037877425551414, 0.022646557539701462]","[0.4798087179660797, 0.1376640349626541, 0.1318260282278061, 0.10887026786804199, 0.10130805522203445, 0.04052293300628662]","[0.4538920819759369, 0.14009709656238556, 0.13906042277812958, 0.10386636853218079, 0.10161668807268143, 0.061467401683330536]","[0.575136125087738, 0.13528041541576385, 0.10943656414747238, 0.09388821572065353, 0.047676846385002136, 0.03858187422156334]","[0.3992460370063782, 0.17811881005764008, 0.13898073136806488, 0.12822775542736053, 0.0853060781955719, 0.07012062519788742]","[0.4848082959651947, 0.14054015278816223, 0.1275801658630371, 0.10919202864170074, 0.09521319717168808, 0.04266615957021713]","[0.5196407437324524, 0.1240665465593338, 0.11255759745836258, 0.09785796701908112, 0.09479601681232452, 0.05108114704489708]","[0.5657055974006653, 0.12386354058980942, 0.11265981942415237, 0.08216077089309692, 0.06784185022115707, 0.047768495976924896]","[0.41049981117248535, 0.20751579105854034, 0.15538018941879272, 0.09605966508388519, 0.07704086601734161, 0.05350366234779358]","[0.4332500994205475, 0.14581787586212158, 0.14359180629253387, 0.12832462787628174, 0.09539305418729782, 0.0536225289106369]","[0.4257349967956543, 0.18706248700618744, 0.139072448015213, 0.11808735132217407, 0.0750194564461708, 0.05502329021692276]"
44,"[0.4257359802722931, 0.2656971216201782, 0.15816448628902435, 0.05629195272922516, 0.05405300483107567, 0.0400574617087841]","[0.4487529993057251, 0.1708558350801468, 0.1614212542772293, 0.11559924483299255, 0.07078655064105988, 0.032584164291620255]","[0.4416499435901642, 0.26636868715286255, 0.1311706006526947, 0.11368174105882645, 0.04425908252596855, 0.0028698774985969067]","[0.5023664236068726, 0.13685791194438934, 0.1365734338760376, 0.12711651623249054, 0.06049570441246033, 0.03658997267484665]","[0.3951919972896576, 0.3029487431049347, 0.09056595712900162, 0.08195415884256363, 0.08081503212451935, 0.04852410778403282]","[0.4813767075538635, 0.24398194253444672, 0.15149949491024017, 0.075248584151268, 0.03761609271168709, 0.010277177207171917]","[0.3705892562866211, 0.29359081387519836, 0.18759319186210632, 0.08314575254917145, 0.05588714778423309, 0.009193934500217438]","[0.3173864483833313, 0.2241191267967224, 0.1733877956867218, 0.15499959886074066, 0.10474672168493271, 0.025360289961099625]","[0.5445899963378906, 0.16760185360908508, 0.09139438718557358, 0.08935671299695969, 0.07694689184427261, 0.030110111460089684]","[0.5439190864562988, 0.1769702285528183, 0.16721761226654053, 0.06326571851968765, 0.03870455175638199, 0.009922818280756474]","[0.4200422465801239, 0.3168596029281616, 0.11946921795606613, 0.07225010544061661, 0.04923952743411064, 0.022139282897114754]"
45,"[0.3369009494781494, 0.20923523604869843, 0.16887085139751434, 0.1450854241847992, 0.079926498234272, 0.05998104065656662]","[0.31296852231025696, 0.1938033550977707, 0.16587238013744354, 0.15136218070983887, 0.1392059326171875, 0.03678770735859871]","[0.2956535518169403, 0.20360200107097626, 0.162425234913826, 0.15833315253257751, 0.13660630583763123, 0.0433797650039196]","[0.2751396596431732, 0.21385987102985382, 0.17765317857265472, 0.16875988245010376, 0.11389065533876419, 0.05069676786661148]","[0.25363269448280334, 0.21955688297748566, 0.21595147252082825, 0.1407715082168579, 0.11595439910888672, 0.05413299798965454]","[0.2491331547498703, 0.2245028018951416, 0.20571832358837128, 0.15554429590702057, 0.11789717525243759, 0.04720420390367508]","[0.2597503364086151, 0.2259405106306076, 0.2169281244277954, 0.17464925348758698, 0.06360267102718353, 0.05912915989756584]","[0.3586154878139496, 0.2231445461511612, 0.18114639818668365, 0.15620025992393494, 0.06313348561525345, 0.0177597738802433]","[0.2774825394153595, 0.20209860801696777, 0.18198686838150024, 0.1507771909236908, 0.14108137786388397, 0.046573374420404434]","[0.3153325915336609, 0.24772463738918304, 0.1953894942998886, 0.14528301358222961, 0.07850596308708191, 0.01776428148150444]","[0.2490515261888504, 0.22125428915023804, 0.21720671653747559, 0.1364646852016449, 0.12143196910619736, 0.05459084361791611]"
46,"[0.37872132658958435, 0.2691890299320221, 0.16796347498893738, 0.07200269401073456, 0.05823981389403343, 0.05388357490301132]","[0.3899413049221039, 0.1610807478427887, 0.15739959478378296, 0.1360432505607605, 0.0883670523762703, 0.0671679824590683]","[0.23302589356899261, 0.2125394493341446, 0.18644791841506958, 0.18473780155181885, 0.1163201555609703, 0.06692878901958466]","[0.5779421925544739, 0.12856988608837128, 0.1263672262430191, 0.08151025325059891, 0.05232635512948036, 0.03328413516283035]","[0.25828325748443604, 0.24745818972587585, 0.17154239118099213, 0.17098984122276306, 0.1342247724533081, 0.017501546069979668]","[0.2791016697883606, 0.22086088359355927, 0.1903667449951172, 0.1625605821609497, 0.14348575472831726, 0.0036243759095668793]","[0.44473302364349365, 0.16993826627731323, 0.12783099710941315, 0.10124170780181885, 0.09392151981592178, 0.06233449652791023]","[0.36065641045570374, 0.20395246148109436, 0.17774957418441772, 0.13416282832622528, 0.11457773298025131, 0.00890100747346878]","[0.47890448570251465, 0.1659766137599945, 0.1339852660894394, 0.10554482787847519, 0.06629729270935059, 0.04929151013493538]","[0.31180277466773987, 0.19285403192043304, 0.15963967144489288, 0.14962686598300934, 0.14782078564167023, 0.038255829364061356]","[0.24724212288856506, 0.24478940665721893, 0.18073979020118713, 0.1630532443523407, 0.155878484249115, 0.008296975865960121]"
47,"[0.2889411449432373, 0.2448907047510147, 0.20106713473796844, 0.1271556168794632, 0.10280027985572815, 0.035145021975040436]","[0.8656925559043884, 0.05165085196495056, 0.03052697330713272, 0.02379162423312664, 0.014181692153215408, 0.014156262390315533]","[0.544471800327301, 0.12859101593494415, 0.11494419723749161, 0.08013302087783813, 0.0758185014128685, 0.05604138970375061]","[0.24542202055454254, 0.18627557158470154, 0.16214969754219055, 0.1613980531692505, 0.14925584197044373, 0.09549877792596817]","[0.38059359788894653, 0.2302568256855011, 0.13851986825466156, 0.10004060715436935, 0.07909607887268066, 0.07149307429790497]","[0.5150026679039001, 0.141341432929039, 0.13631592690944672, 0.09087598323822021, 0.06136557087302208, 0.05509841442108154]","[0.8037008047103882, 0.06383955478668213, 0.04407906532287598, 0.04264030233025551, 0.023687023669481277, 0.022053251042962074]","[0.5764512419700623, 0.12373214215040207, 0.08997756987810135, 0.08740358054637909, 0.06948718428611755, 0.05294838175177574]","[0.2992557883262634, 0.25925734639167786, 0.1644442230463028, 0.10653334110975266, 0.10182111710309982, 0.06868823617696762]","[0.5599089860916138, 0.12738049030303955, 0.10475146025419235, 0.08762961626052856, 0.07342292368412018, 0.04690654203295708]","[0.8451946377754211, 0.05714759603142738, 0.02931126207113266, 0.026465926319360733, 0.024773137643933296, 0.01710749790072441]"
48,"[0.30919989943504333, 0.22387057542800903, 0.21791620552539825, 0.09844309836626053, 0.09145162999629974, 0.059118520468473434]","[0.40355148911476135, 0.2732238173484802, 0.1991337388753891, 0.08755440264940262, 0.03465881571173668, 0.0018777037039399147]","[0.5830335021018982, 0.1538923680782318, 0.13895872235298157, 0.09124458581209183, 0.02264299802482128, 0.010227776132524014]","[0.3053838908672333, 0.25912603735923767, 0.17409346997737885, 0.16194026172161102, 0.05935819447040558, 0.04009808972477913]","[0.5549803972244263, 0.1705864816904068, 0.14445888996124268, 0.09863931685686111, 0.02085854671895504, 0.0104764299467206]","[0.4942113161087036, 0.22015130519866943, 0.16451393067836761, 0.0937616229057312, 0.01780957728624344, 0.009552199393510818]","[0.5575796961784363, 0.1731984168291092, 0.13192196190357208, 0.105824314057827, 0.021762797608971596, 0.009712794795632362]","[0.4468402862548828, 0.22895026206970215, 0.16241741180419922, 0.12157033383846283, 0.037052009254693985, 0.0031697142403572798]","[0.3135591149330139, 0.24284705519676208, 0.24114523828029633, 0.11822007596492767, 0.056504324078559875, 0.02772420458495617]","[0.5144256353378296, 0.19184516370296478, 0.13272665441036224, 0.0905296728014946, 0.06538554280996323, 0.005087330937385559]","[0.471067875623703, 0.2132299244403839, 0.17969892919063568, 0.10939111560583115, 0.023092586547136307, 0.003519622376188636]"
49,"[0.42105045914649963, 0.20548675954341888, 0.1713312715291977, 0.14707326889038086, 0.055058252066373825]","[0.36164700984954834, 0.2986464500427246, 0.19076241552829742, 0.07869677990674973, 0.0702473446726799]","[0.3345643877983093, 0.30479755997657776, 0.20396679639816284, 0.08615216612815857, 0.07051903009414673]","[0.2888500988483429, 0.28402063250541687, 0.24412040412425995, 0.1017158180475235, 0.08129299432039261]","[0.452409952878952, 0.25530537962913513, 0.14403913915157318, 0.12939134240150452, 0.01885424181818962]","[0.3623134195804596, 0.29649803042411804, 0.2089293748140335, 0.10749226063489914, 0.024766968563199043]","[0.44733917713165283, 0.2145470678806305, 0.20338281989097595, 0.09606190025806427, 0.03866909071803093]","[0.34093722701072693, 0.2892332375049591, 0.2184927761554718, 0.09056658297777176, 0.060770198702812195]","[0.30031704902648926, 0.27411434054374695, 0.24862468242645264, 0.10096883028745651, 0.07597506046295166]","[0.38669174909591675, 0.3335955739021301, 0.17734099924564362, 0.06985870748758316, 0.03251304477453232]","[0.35824722051620483, 0.3496932089328766, 0.17482267320156097, 0.09693457186222076, 0.020302357152104378]"
50,"[0.8693612813949585, 0.09500030428171158, 0.025023480877280235, 0.006134993862360716, 0.004479964729398489]","[0.7698217034339905, 0.13258032500743866, 0.05281578004360199, 0.031444791704416275, 0.013337399810552597]","[0.78350430727005, 0.09535709023475647, 0.05279691517353058, 0.04442398250102997, 0.023917771875858307]","[0.8155876398086548, 0.08443844318389893, 0.05266163498163223, 0.03249768167734146, 0.014814624562859535]","[0.8009628057479858, 0.10557620227336884, 0.048434820026159286, 0.03144679591059685, 0.013579406775534153]","[0.7912198305130005, 0.10198522359132767, 0.048410024493932724, 0.0394442044198513, 0.018940741196274757]","[0.733712911605835, 0.12456648796796799, 0.08662404865026474, 0.0378187820315361, 0.017277784645557404]","[0.694392204284668, 0.16571082174777985, 0.07413294166326523, 0.044331442564725876, 0.02143268473446369]","[0.8866434097290039, 0.04779181629419327, 0.04487074539065361, 0.013751250691711903, 0.006942830979824066]","[0.7112356424331665, 0.15211151540279388, 0.07390706241130829, 0.043177373707294464, 0.019568393006920815]","[0.7569785714149475, 0.11353795230388641, 0.0644085556268692, 0.042933139950037, 0.02214181423187256]"
51,"[0.3332216739654541, 0.21217329800128937, 0.16880041360855103, 0.1387510895729065, 0.11486711353063583, 0.03218642622232437]","[0.3916349709033966, 0.18324829638004303, 0.1656176894903183, 0.12587854266166687, 0.1077384427189827, 0.025882044807076454]","[0.31670400500297546, 0.239233136177063, 0.17983660101890564, 0.12267394363880157, 0.09904950857162476, 0.04250282421708107]","[0.4046645164489746, 0.20919929444789886, 0.13622169196605682, 0.12796661257743835, 0.09817428141832352, 0.023773565888404846]","[0.3838910460472107, 0.2523214817047119, 0.13501854240894318, 0.13015340268611908, 0.08168275654315948, 0.016932768747210503]","[0.32576626539230347, 0.22680917382240295, 0.1923719048500061, 0.1706198900938034, 0.061335474252700806, 0.023097366094589233]","[0.49285438656806946, 0.16860634088516235, 0.15879075229167938, 0.09325119107961655, 0.07777352631092072, 0.008723834529519081]","[0.3997878432273865, 0.21111588180065155, 0.20897990465164185, 0.08603741228580475, 0.08463246375322342, 0.009446481242775917]","[0.48834240436553955, 0.1912522166967392, 0.10813842713832855, 0.10574871301651001, 0.09033985435962677, 0.016178395599126816]","[0.35113662481307983, 0.24203935265541077, 0.14727306365966797, 0.14386053383350372, 0.09890180826187134, 0.016788575798273087]","[0.30890336632728577, 0.22715824842453003, 0.20320722460746765, 0.15591749548912048, 0.0777847096323967, 0.027028948068618774]"
52,"[0.5581104159355164, 0.22204692661762238, 0.09873543679714203, 0.05665699392557144, 0.042309220880270004, 0.0221409909427166]","[0.45404547452926636, 0.28252264857292175, 0.10268931835889816, 0.07560211420059204, 0.06170370429754257, 0.023436708375811577]","[0.534980058670044, 0.21858097612857819, 0.12378430366516113, 0.06908563524484634, 0.03133257478475571, 0.022236354649066925]","[0.3720448911190033, 0.2699752151966095, 0.20996415615081787, 0.06959120184183121, 0.061234187334775925, 0.017190421000123024]","[0.43980681896209717, 0.28277236223220825, 0.09970293939113617, 0.0959097146987915, 0.057984307408332825, 0.023823892697691917]","[0.3972245156764984, 0.35437458753585815, 0.0792611613869667, 0.07454052567481995, 0.06205902248620987, 0.032540131360292435]","[0.371308833360672, 0.30617254972457886, 0.13951556384563446, 0.06906349956989288, 0.06814084202051163, 0.04579867050051689]","[0.37000349164009094, 0.3354068100452423, 0.12859828770160675, 0.09656444936990738, 0.03646033629775047, 0.03296663612127304]","[0.31105780601501465, 0.27472519874572754, 0.2491428256034851, 0.09152358770370483, 0.05253272131085396, 0.021017909049987793]","[0.5018172860145569, 0.2684641182422638, 0.08715438097715378, 0.07165077328681946, 0.05087370425462723, 0.020039675757288933]","[0.5403165817260742, 0.1970810443162918, 0.1473287045955658, 0.057906366884708405, 0.04078284278512001, 0.016584424301981926]"
53,"[0.613838791847229, 0.15726692974567413, 0.078558549284935, 0.07649506628513336, 0.05543289706110954, 0.018407762050628662]","[0.7558904886245728, 0.09300064295530319, 0.08481285721063614, 0.03251545503735542, 0.0205426886677742, 0.01323789358139038]","[0.6091598868370056, 0.15694297850131989, 0.11303595453500748, 0.07208750396966934, 0.02440600097179413, 0.024367695674300194]","[0.7064498066902161, 0.11816143989562988, 0.09464190900325775, 0.05064019188284874, 0.015431547537446022, 0.014675048179924488]","[0.4636431038379669, 0.21434089541435242, 0.1439395546913147, 0.13853928446769714, 0.021961674094200134, 0.01757550798356533]","[0.49636712670326233, 0.2214503437280655, 0.11228637397289276, 0.09497476369142532, 0.03916520997881889, 0.03575615957379341]","[0.5321470499038696, 0.20222635567188263, 0.17936383187770844, 0.030443979427218437, 0.03043239749968052, 0.025386393070220947]","[0.812677264213562, 0.12512710690498352, 0.041270095854997635, 0.009769338183104992, 0.007146221585571766, 0.0040098982863128185]","[0.5195280909538269, 0.19072403013706207, 0.11623489111661911, 0.10763809084892273, 0.036385223269462585, 0.029489628970623016]","[0.7377498149871826, 0.11368714272975922, 0.05959158018231392, 0.036460030823946, 0.035812295973300934, 0.016699114814400673]","[0.690744161605835, 0.12981334328651428, 0.10715817660093307, 0.03329262509942055, 0.022281464189291, 0.016710292547941208]"
54,"[0.6776238083839417, 0.15176649391651154, 0.06418290734291077, 0.05535144358873367, 0.035151656717061996, 0.015923667699098587]","[0.3411127030849457, 0.3039546310901642, 0.1706896871328354, 0.09867735207080841, 0.07342476397752762, 0.01214088499546051]","[0.3284061849117279, 0.2209944874048233, 0.18406954407691956, 0.15098567306995392, 0.11001331359148026, 0.005530706141144037]","[0.56693434715271, 0.19686883687973022, 0.06361913681030273, 0.06313301622867584, 0.060686588287353516, 0.048758018761873245]","[0.32052162289619446, 0.2884517312049866, 0.1465810090303421, 0.10203564167022705, 0.1018468514084816, 0.04056309908628464]","[0.3329659104347229, 0.22598612308502197, 0.17812968790531158, 0.14812110364437103, 0.10751926153898239, 0.007277882192283869]","[0.35947176814079285, 0.2922222912311554, 0.13488100469112396, 0.10631763190031052, 0.0849556103348732, 0.022151725366711617]","[0.366071879863739, 0.3131166696548462, 0.10500705242156982, 0.09479270875453949, 0.06139873340725899, 0.05961295962333679]","[0.5346882939338684, 0.19952401518821716, 0.09327756613492966, 0.07428442686796188, 0.05125129222869873, 0.046974439173936844]","[0.329730361700058, 0.29264381527900696, 0.12628234922885895, 0.10277212411165237, 0.07502982020378113, 0.0735415667295456]","[0.3628639280796051, 0.20400157570838928, 0.19014476239681244, 0.1257239282131195, 0.11161810159683228, 0.005647751968353987]"
55,"[0.9684489369392395, 0.011830373667180538, 0.006107726134359837, 0.0057755690068006516, 0.004653324373066425, 0.0031840349547564983]","[0.95907062292099, 0.013881247490644455, 0.00885204691439867, 0.007140464149415493, 0.006235597655177116, 0.0048200152814388275]","[0.9443135261535645, 0.014841467142105103, 0.012809710577130318, 0.012590251863002777, 0.01088743843138218, 0.004557623993605375]","[0.9786625504493713, 0.0061940765008330345, 0.005490579642355442, 0.00441574864089489, 0.002984174294397235, 0.0022528006229549646]","[0.9592132568359375, 0.012984169647097588, 0.012062869034707546, 0.007004640996456146, 0.006271780468523502, 0.0024633058346807957]","[0.9674441814422607, 0.008702668361365795, 0.0077672661282122135, 0.006535069551318884, 0.006528074387460947, 0.003022777149453759]","[0.9888262152671814, 0.0031178807839751244, 0.0025325503665953875, 0.002355089643970132, 0.0018856480019167066, 0.0012826593592762947]","[0.9803934097290039, 0.008113635703921318, 0.004604837391525507, 0.003058213507756591, 0.001992497593164444, 0.0018374681239947677]","[0.9561100006103516, 0.015484189614653587, 0.01443527266383171, 0.005784043110907078, 0.004524374846369028, 0.003662081668153405]","[0.866492748260498, 0.04374060407280922, 0.027318604290485382, 0.022792236879467964, 0.022698180750012398, 0.01695759780704975]","[0.9400827288627625, 0.017794335260987282, 0.0171975065022707, 0.012827368453145027, 0.009010628797113895, 0.003087335731834173]"
56,"[0.5026508569717407, 0.399203360080719, 0.04245752468705177, 0.029984112828969955, 0.018092626705765724, 0.007611503358930349]","[0.49730634689331055, 0.3730955719947815, 0.043463386595249176, 0.04034580662846565, 0.03575078025460243, 0.010038096457719803]","[0.5098700523376465, 0.3543838560581207, 0.04686656966805458, 0.04276183620095253, 0.037995245307683945, 0.008122408762574196]","[0.4865785539150238, 0.36432379484176636, 0.04861321300268173, 0.048448722809553146, 0.04451114311814308, 0.007524541113525629]","[0.4781688153743744, 0.36322256922721863, 0.06236119195818901, 0.046037282794713974, 0.04573254659771919, 0.004477596376091242]","[0.6026288866996765, 0.2727014422416687, 0.04157726466655731, 0.04129444435238838, 0.03457876294851303, 0.007219273131340742]","[0.4962955117225647, 0.3597569167613983, 0.05769844353199005, 0.040763676166534424, 0.039975691586732864, 0.0055097127333283424]","[0.5114389061927795, 0.29574474692344666, 0.0924057736992836, 0.05380982905626297, 0.04538269713521004, 0.0012180439662188292]","[0.5045260190963745, 0.3371947109699249, 0.06384661793708801, 0.04715779423713684, 0.040153857320547104, 0.007120978552848101]","[0.5250406861305237, 0.33508265018463135, 0.05613609403371811, 0.04312078282237053, 0.035362713038921356, 0.005257010459899902]","[0.5355812311172485, 0.32883650064468384, 0.05869385227560997, 0.036210618913173676, 0.03367770090699196, 0.007000054232776165]"
57,"[0.25403091311454773, 0.22828304767608643, 0.2204568088054657, 0.14134836196899414, 0.08006643503904343, 0.07581448554992676]","[0.27010196447372437, 0.1943555772304535, 0.16256339848041534, 0.15940241515636444, 0.13633812963962555, 0.07723856717348099]","[0.344653457403183, 0.16477589309215546, 0.15086591243743896, 0.14681658148765564, 0.12157728523015976, 0.0713108479976654]","[0.2900153696537018, 0.24021302163600922, 0.14487381279468536, 0.13581305742263794, 0.11231961101293564, 0.07676512002944946]","[0.2946425974369049, 0.21634094417095184, 0.1637190580368042, 0.1231745257973671, 0.10209101438522339, 0.10003183782100677]","[0.4036972224712372, 0.22035591304302216, 0.11099016666412354, 0.09976466745138168, 0.09082238376140594, 0.07436959445476532]","[0.3044953942298889, 0.18498969078063965, 0.17592297494411469, 0.12625648081302643, 0.12624552845954895, 0.08208993077278137]","[0.26960253715515137, 0.19909241795539856, 0.18047238886356354, 0.1419370323419571, 0.10655825585126877, 0.1023372933268547]","[0.3115141689777374, 0.21323758363723755, 0.1588938683271408, 0.13809284567832947, 0.1224331259727478, 0.05582840368151665]","[0.26098892092704773, 0.20113418996334076, 0.1950216293334961, 0.14093805849552155, 0.10927095264196396, 0.09264618158340454]","[0.24554161727428436, 0.23991793394088745, 0.183518648147583, 0.1283154934644699, 0.11576816439628601, 0.08693810552358627]"
58,"[0.4815523326396942, 0.19020813703536987, 0.11312110722064972, 0.11239749938249588, 0.07618436217308044, 0.026536526158452034]","[0.6711934208869934, 0.1267455518245697, 0.10851278156042099, 0.05278010666370392, 0.021936487406492233, 0.01883169636130333]","[0.6470979452133179, 0.11801579594612122, 0.11022166162729263, 0.0700003057718277, 0.0345880500972271, 0.02007618546485901]","[0.7048221230506897, 0.15668173134326935, 0.05141167342662811, 0.046833012253046036, 0.028719231486320496, 0.011532286182045937]","[0.5671960711479187, 0.2358400821685791, 0.07175997644662857, 0.05615851283073425, 0.03579234331846237, 0.03325299173593521]","[0.5213251113891602, 0.1681700497865677, 0.14979852735996246, 0.12330907583236694, 0.02735716663300991, 0.010040001012384892]","[0.7562438249588013, 0.12043098360300064, 0.04766684025526047, 0.039719000458717346, 0.02789505384862423, 0.008044332265853882]","[0.7691107988357544, 0.09303973615169525, 0.04635050520300865, 0.039302852004766464, 0.037644799798727036, 0.014551295898854733]","[0.7080255746841431, 0.16057351231575012, 0.04697633534669876, 0.03919236734509468, 0.03305566683411598, 0.012176468968391418]","[0.8091908693313599, 0.0709514394402504, 0.04928560182452202, 0.03164341673254967, 0.027225390076637268, 0.011703320778906345]","[0.6629850268363953, 0.1189020425081253, 0.11556375026702881, 0.05320088565349579, 0.02891293168067932, 0.020435325801372528]"
59,"[0.35466310381889343, 0.2378113567829132, 0.1210893839597702, 0.10371250659227371, 0.09333596378564835, 0.08938769996166229]","[0.27317801117897034, 0.25986409187316895, 0.20430314540863037, 0.11357678472995758, 0.09438169002532959, 0.054696232080459595]","[0.3025103211402893, 0.23189182579517365, 0.19352315366268158, 0.13493676483631134, 0.09206557273864746, 0.045072291046381]","[0.2502894997596741, 0.20269256830215454, 0.17402862012386322, 0.1564008891582489, 0.14070357382297516, 0.07588477432727814]","[0.38308265805244446, 0.25410181283950806, 0.15777646005153656, 0.1021389588713646, 0.05289750546216965, 0.050002653151750565]","[0.26144909858703613, 0.25229039788246155, 0.2172577828168869, 0.11074252426624298, 0.08216072618961334, 0.0760994404554367]","[0.4352816641330719, 0.17160508036613464, 0.1681038737297058, 0.11289039254188538, 0.06575525552034378, 0.04636375606060028]","[0.3480759859085083, 0.23239637911319733, 0.1531679928302765, 0.09252388030290604, 0.08814926445484161, 0.08568648993968964]","[0.2539254128932953, 0.2113427221775055, 0.1831144541501999, 0.1712227165699005, 0.1236969605088234, 0.05669776722788811]","[0.26246321201324463, 0.24792447686195374, 0.1879487931728363, 0.14112305641174316, 0.09525853395462036, 0.0652819350361824]","[0.26823681592941284, 0.246764674782753, 0.20540711283683777, 0.14643347263336182, 0.0800970196723938, 0.05306084454059601]"
60,"[0.26053386926651, 0.19704782962799072, 0.15634961426258087, 0.14957493543624878, 0.1283004879951477, 0.10819327086210251]","[0.4679320454597473, 0.2228706330060959, 0.15859727561473846, 0.08467657119035721, 0.03474178910255432, 0.03118177317082882]","[0.35352975130081177, 0.2496454119682312, 0.17012083530426025, 0.09548676013946533, 0.08906042575836182, 0.04215683788061142]","[0.3659321367740631, 0.1848829686641693, 0.15258322656154633, 0.1148211881518364, 0.09759088605642319, 0.08418960124254227]","[0.34237775206565857, 0.27256569266319275, 0.17148961126804352, 0.10435072332620621, 0.056229524314403534, 0.052986618131399155]","[0.4245465099811554, 0.29801663756370544, 0.14426074922084808, 0.06028055027127266, 0.04142531380057335, 0.03147023916244507]","[0.3030068576335907, 0.2903929054737091, 0.22250105440616608, 0.0947430282831192, 0.05267910659313202, 0.036677032709121704]","[0.4249808192253113, 0.22141437232494354, 0.15322262048721313, 0.14924903213977814, 0.03879953548312187, 0.012333624064922333]","[0.37862616777420044, 0.2289590984582901, 0.1292002648115158, 0.12251406162977219, 0.07214459776878357, 0.06855586171150208]","[0.49846649169921875, 0.22479282319545746, 0.13439901173114777, 0.08358286321163177, 0.03043511137366295, 0.028323689475655556]","[0.4549323618412018, 0.25854259729385376, 0.14941424131393433, 0.0711088478565216, 0.03833931311964989, 0.02766263857483864]"
